id,name,model,dateOfCreation,color,price
3013,Volkswagen,C-Class,2020-07-01,RosyBrown,18322.34
3014,Volkswagen,Corolla,2022-07-24,MediumPurple,21096.44
3015,Toyota,A4,2001-07-19,Moccasin,59482.24
3016,BMW,F-150,1995-10-13,PeachPuff,71516.18
3017,Tesla,Golf,2004-08-25,Blue,46516.52
3018,Tesla,Corolla,2022-10-27,LawnGreen,15617.76
3019,Honda,Civic,2016-03-10,LightGray,24691.29
3020,Toyota,Golf,2010-06-20,DarkBlue,25745.62
3021,Tesla,Golf,2022-11-20,Bisque,27258.31
3022,Chevrolet,3 Series,1998-07-29,Bisque,41295.43
3023,Audi,Model S,2019-05-04,OldLace,41333.39
3024,Mercedes-Benz,A4,2012-01-18,Cyan,72050.51
3025,Honda,Corolla,2005-10-19,DarkGray,54436.99
3026,Chevrolet,Silverado,2010-10-21,DarkGoldenRod,33631.15
3027,Honda,Model S,2016-07-31,Chartreuse,51917.57
3028,Toyota,F-150,2011-09-26,Tan,77286.35
3029,Volkswagen,Corolla,1995-11-23,RoyalBlue,45274.0
3030,Volkswagen,Civic,2020-03-21,AliceBlue,68058.37
3031,Chevrolet,3 Series,2000-01-27,Orange,48748.8
3032,Nissan,Model S,2018-03-21,SeaGreen,6715.8
3033,Toyota,3 Series,2021-03-18,MediumOrchid,37850.49
3034,Ford,Altima,2000-04-26,PowderBlue,10927.07
3035,Honda,Silverado,1998-02-15,Coral,65682.76
3036,Mercedes-Benz,3 Series,2003-06-03,Teal,8060.99
3037,Audi,Golf,2007-02-26,LimeGreen,42025.41
3038,Volkswagen,3 Series,2004-04-06,PeachPuff,62778.09
3039,Mercedes-Benz,A4,2021-11-24,MediumPurple,21328.03
3040,Mercedes-Benz,Altima,2023-09-12,LightCyan,62175.63
3041,Ford,C-Class,2020-11-15,CadetBlue,10432.12
3042,Ford,Silverado,1994-10-20,PowderBlue,46624.98
3043,Chevrolet,Corolla,2019-02-13,DarkKhaki,35373.74
3044,Ford,Civic,1999-07-02,SeaShell,15356.71
3045,Ford,Corolla,2006-09-09,PaleGreen,61404.48
3046,Honda,Civic,2015-06-14,SeaGreen,53308.39
3047,Volkswagen,Silverado,2000-04-02,RosyBrown,73963.4
3048,Mercedes-Benz,Corolla,2014-04-22,Bisque,46408.45
3049,Nissan,C-Class,2018-06-09,Peru,23819.17
3050,Tesla,Golf,2001-10-20,DarkMagenta,12592.11
3051,Nissan,3 Series,1996-01-05,BlanchedAlmond,20425.23
3052,Toyota,Corolla,1997-05-29,MediumVioletRed,53899.27
3053,Toyota,Golf,2001-09-12,SpringGreen,7866.14
3054,Mercedes-Benz,Civic,2016-05-17,LimeGreen,6509.3
3055,Volkswagen,Silverado,2011-08-27,CornflowerBlue,50755.4
3056,Nissan,Golf,2005-07-06,YellowGreen,54810.39
3057,BMW,3 Series,2001-12-29,Maroon,35164.96
3058,Ford,A4,2021-06-28,Green,66703.73
3059,Mercedes-Benz,Civic,2016-11-25,Red,58108.39
3060,Tesla,3 Series,2021-12-09,HotPink,10135.19
3061,Chevrolet,F-150,2011-10-07,LightCoral,9644.45
3062,Audi,Altima,1998-06-26,SaddleBrown,6888.72
3063,Volkswagen,A4,2011-04-04,DarkCyan,43032.49
3064,Nissan,F-150,2013-11-13,MediumVioletRed,70734.26
3065,Mercedes-Benz,F-150,2004-11-23,Magenta,25138.21
3066,Mercedes-Benz,C-Class,2021-01-22,Moccasin,76366.11
3067,Volkswagen,A4,2021-06-28,PowderBlue,22503.4
3068,Mercedes-Benz,Silverado,1996-08-04,MistyRose,55915.89
3069,Honda,Altima,1999-08-11,Khaki,71273.28
3070,Chevrolet,3 Series,1995-09-23,Aqua,57784.23
3071,Tesla,F-150,2015-03-18,Cyan,11494.23
3072,Tesla,Golf,2013-12-20,Linen,39225.44
3073,Tesla,Civic,2020-11-10,Ivory,42161.58
3074,Toyota,3 Series,1997-02-07,DarkGoldenRod,71132.72
3075,Toyota,Altima,2023-01-28,DarkMagenta,11868.43
3076,Toyota,Golf,2013-09-22,YellowGreen,75164.02
3077,Toyota,Corolla,2021-10-31,DarkKhaki,74738.11
3078,Audi,3 Series,2013-09-12,Yellow,32155.32
3079,Audi,C-Class,2004-01-15,Violet,33479.88
3080,Chevrolet,Civic,2018-04-14,BlueViolet,20882.06
3081,Volkswagen,A4,2018-12-26,SteelBlue,25211.71
3082,Ford,3 Series,2015-06-29,MediumTurquoise,20649.28
3083,Audi,A4,2019-08-25,Yellow,26080.4
3084,Mercedes-Benz,Golf,2000-03-29,Magenta,60425.56
3085,Chevrolet,Corolla,2012-08-16,PaleTurquoise,28961.15
3086,BMW,3 Series,2011-11-06,Ivory,23279.27
3087,Honda,Silverado,2018-09-01,Moccasin,69674.05
3088,BMW,Silverado,2008-12-09,SlateBlue,59517.85
3089,Volkswagen,C-Class,2008-04-21,Moccasin,50329.7
3090,Nissan,Model S,2002-07-03,FloralWhite,6970.11
3091,Volkswagen,Model S,2008-03-08,DeepPink,45036.54
3092,Mercedes-Benz,C-Class,2019-08-04,Green,54125.66
3093,Honda,A4,2010-08-09,OrangeRed,41596.71
3094,Chevrolet,Corolla,1994-11-14,Black,48453.28
3095,Tesla,Corolla,2008-12-03,FloralWhite,19768.31
3096,Volkswagen,Civic,2020-04-11,SeaGreen,44536.26
3097,Tesla,3 Series,2015-03-21,Cyan,12995.5
3098,BMW,3 Series,2010-02-25,Maroon,26575.35
3099,Ford,Model S,2011-10-21,CornflowerBlue,49318.76
3100,Nissan,Silverado,2013-07-17,DeepPink,35693.75
3101,Honda,Corolla,2018-08-24,SeaShell,11063.7
3102,Audi,Golf,2007-11-10,DimGray,53141.57
3103,Audi,F-150,1999-09-23,MintCream,29703.48
3104,Audi,Altima,2002-12-17,CornflowerBlue,68197.57
3105,Toyota,Corolla,2000-02-06,Lime,35444.13
3106,Honda,Corolla,2006-07-27,DimGray,57938.66
3107,Nissan,Golf,2005-01-07,MediumAquaMarine,59118.15
3108,Audi,Silverado,1997-06-23,Gray,41954.38
3109,Mercedes-Benz,Civic,1994-11-11,LightSeaGreen,39681.0
3110,Mercedes-Benz,3 Series,2023-11-12,Purple,5241.09
3111,Tesla,A4,2021-05-20,DimGray,47778.86
3112,Chevrolet,Altima,2020-06-01,LightSeaGreen,6282.54
3113,Nissan,Civic,2002-08-15,PeachPuff,52062.42
3114,Audi,Model S,2017-02-06,MediumSlateBlue,52843.69
3115,Volkswagen,Altima,2006-06-25,Red,69432.56
3116,Tesla,Model S,2023-08-26,LightSlateGray,26020.55
3117,Honda,Corolla,1995-08-11,SeaShell,68519.25
3118,Tesla,3 Series,2001-07-12,Beige,27569.34
3119,Chevrolet,A4,2000-08-19,OrangeRed,37259.55
3120,Tesla,F-150,1995-05-03,HoneyDew,6650.01
3121,Honda,Silverado,2020-11-03,LightGreen,26931.3
3122,Honda,Silverado,2002-09-11,DarkViolet,38668.88
3123,BMW,3 Series,1995-05-02,LightSteelBlue,67000.69
3124,Ford,Model S,2012-05-30,AntiqueWhite,9468.07
3125,Ford,Corolla,2014-07-03,CornflowerBlue,46821.05
3126,Tesla,F-150,1995-10-18,DarkCyan,32090.93
3127,Ford,F-150,1998-12-26,Bisque,28986.06
3128,Chevrolet,Altima,2017-02-20,DarkSalmon,65672.12
3129,Ford,Altima,1997-06-04,Gray,13614.18
3130,Volkswagen,3 Series,1998-11-20,Ivory,22209.3
3131,Mercedes-Benz,Silverado,2023-03-31,LightSlateGray,56405.4
3132,Toyota,Civic,2008-03-23,MediumSeaGreen,54922.88
3133,Toyota,Civic,2017-04-30,LightSkyBlue,10874.49
3134,Mercedes-Benz,Silverado,1996-04-14,GoldenRod,24823.75
3135,Mercedes-Benz,A4,2017-09-06,Beige,15060.14
3136,Tesla,Civic,2008-03-29,DarkRed,60241.83
3137,Audi,Golf,2023-11-29,DeepSkyBlue,26707.95
3138,Ford,F-150,2009-12-24,Cornsilk,28378.77
3139,Toyota,Golf,2008-07-09,White,66589.53
3140,Mercedes-Benz,Golf,2005-04-14,LightGreen,24380.58
3141,Audi,C-Class,1999-11-22,Bisque,31769.13
3142,Chevrolet,Silverado,1997-10-19,OliveDrab,54383.61
3143,BMW,3 Series,2011-01-31,FloralWhite,49235.54
3144,BMW,Altima,2008-05-24,Plum,67457.36
3145,Toyota,C-Class,1998-01-13,Turquoise,43482.06
3146,Mercedes-Benz,Altima,1999-03-09,Indigo,65822.95
3147,Tesla,A4,1995-11-05,LavenderBlush,55655.35
3148,Volkswagen,Corolla,2019-10-10,CadetBlue,17273.34
3149,Ford,Model S,2020-04-05,LightGoldenRodYellow,67972.63
3150,Volkswagen,Corolla,2023-03-06,DimGray,60478.35
3151,Audi,3 Series,1997-05-21,SteelBlue,13521.91
3152,Chevrolet,Civic,2015-06-08,Fuchsia,15812.73
3153,Honda,F-150,1996-10-06,RoyalBlue,77431.99
3154,Toyota,Altima,2017-07-20,Lime,38197.82
3155,Nissan,A4,2006-03-29,SeaGreen,72658.25
3156,Honda,A4,2016-02-21,MintCream,12070.8
3157,Toyota,Golf,2017-01-15,Maroon,11819.85
3158,Volkswagen,Civic,2003-06-08,LightSeaGreen,66305.17
3159,Tesla,F-150,1998-03-31,Peru,64177.21
3160,Audi,3 Series,2021-05-02,Blue,18206.62
3161,Volkswagen,Corolla,1996-08-25,DarkRed,44386.54
3162,Mercedes-Benz,3 Series,2018-09-15,MediumOrchid,6237.2
3163,Audi,A4,2020-03-22,SandyBrown,48038.64
3164,Toyota,C-Class,2012-12-06,OliveDrab,78508.78
3165,Audi,Model S,1997-01-21,Gainsboro,78130.0
3166,BMW,Golf,2018-07-17,MediumAquaMarine,41961.93
3167,Toyota,Corolla,2011-02-25,LightGray,14119.73
3168,Tesla,Silverado,2015-12-23,BlueViolet,68039.35
3169,BMW,Altima,2021-01-18,OliveDrab,6243.49
3170,Audi,Corolla,1999-03-11,LightGoldenRodYellow,49365.99
3171,BMW,Corolla,2020-03-14,PowderBlue,76668.83
3172,BMW,Corolla,1999-06-08,YellowGreen,10486.98
3173,Chevrolet,Golf,2001-01-28,DarkSlateBlue,48359.29
3174,Nissan,Golf,2020-11-22,Gray,19141.81
3175,Tesla,A4,2007-01-15,DarkSlateGray,77422.34
3176,Nissan,Corolla,1995-09-05,DarkGoldenRod,22931.34
3177,Nissan,Golf,1997-01-11,NavajoWhite,73594.04
3178,Chevrolet,Golf,2000-11-28,MediumVioletRed,39606.34
3179,Mercedes-Benz,Model S,2018-03-21,BlanchedAlmond,30944.78
3180,Ford,F-150,2008-01-02,Aquamarine,19976.05
3181,Toyota,Corolla,2021-07-03,DeepSkyBlue,40597.57
3182,Honda,A4,2008-05-24,Orange,76020.37
3183,Volkswagen,C-Class,2001-07-14,Orchid,47901.71
3184,Volkswagen,Civic,2021-06-09,CadetBlue,74146.12
3185,BMW,Golf,2005-12-20,HotPink,74178.82
3186,Chevrolet,Model S,2003-12-04,MediumTurquoise,77055.52
3187,Honda,A4,2016-07-31,SeaGreen,20599.69
3188,Chevrolet,F-150,2003-10-01,Magenta,78107.31
3189,Volkswagen,F-150,2016-11-29,Salmon,53651.5
3190,Nissan,Civic,2020-02-09,LightSkyBlue,45936.87
3191,Toyota,Altima,1997-10-05,Chartreuse,52126.06
3192,Honda,Altima,2005-04-11,MediumSlateBlue,26165.34
3193,Audi,Civic,1995-09-05,Black,54267.35
3194,Volkswagen,F-150,2006-09-28,SlateBlue,14459.87
3195,Mercedes-Benz,C-Class,1995-07-30,Gold,48085.75
3196,Tesla,Golf,2010-07-10,Cornsilk,77961.8
3197,Nissan,Civic,2003-02-28,DarkTurquoise,32865.02
3198,BMW,A4,2000-10-18,MediumTurquoise,38423.59
3199,Volkswagen,Model S,2013-12-23,Silver,70575.36
3200,Mercedes-Benz,Corolla,2017-03-31,SteelBlue,8470.58
3201,BMW,Model S,1998-04-06,MediumSpringGreen,14511.87
3202,Nissan,Corolla,2023-06-03,DodgerBlue,62001.93
3203,Ford,Corolla,2021-02-21,PaleGreen,51746.75
3204,Nissan,Civic,2012-01-13,Chartreuse,23059.83
3205,Ford,Model S,1994-10-18,DarkSlateBlue,39322.47
3206,Honda,Golf,2007-09-02,Khaki,54687.02
3207,Toyota,Altima,2020-06-15,Chocolate,73941.61
3208,Mercedes-Benz,A4,2001-10-25,DeepSkyBlue,21487.66
3209,Volkswagen,Civic,2014-07-01,HotPink,72939.17
3210,Honda,C-Class,2022-01-18,Yellow,53685.15
3211,Volkswagen,C-Class,2000-12-08,Cyan,5545.45
3212,Mercedes-Benz,Altima,2012-03-13,Teal,19698.05
3213,Audi,Model S,2019-10-21,Cornsilk,18332.57
3214,Ford,Model S,2021-08-29,MidnightBlue,77360.91
3215,Toyota,Model S,2019-07-12,DeepSkyBlue,74523.55
3216,Audi,Golf,2011-02-21,SlateBlue,24106.72
3217,Mercedes-Benz,Silverado,2004-09-05,DarkOliveGreen,65795.75
3218,Audi,Corolla,2023-09-04,Cyan,33132.96
3219,Toyota,F-150,2008-10-07,Green,11678.61
3220,Toyota,F-150,2013-09-04,NavajoWhite,73060.48
3221,Nissan,Civic,1995-03-12,GoldenRod,35385.07
3222,Honda,A4,1997-03-17,DarkSlateGray,40119.56
3223,Chevrolet,A4,2021-01-17,Silver,8677.65
3224,Toyota,Model S,2010-09-07,Green,20755.98
3225,Honda,Model S,2006-04-23,DarkOliveGreen,33756.46
3226,Mercedes-Benz,Silverado,2002-07-14,MediumOrchid,40699.69
3227,BMW,Altima,2003-03-15,OliveDrab,52638.62
3228,Audi,Golf,2009-11-18,Purple,14471.51
3229,Audi,Golf,2007-08-11,AliceBlue,71769.53
3230,BMW,C-Class,2013-01-30,Plum,65341.79
3231,Nissan,A4,1995-06-05,Azure,79367.94
3232,Honda,C-Class,2016-01-06,Yellow,12686.53
3233,Nissan,Model S,2015-06-01,MediumPurple,73067.5
3234,BMW,F-150,2007-07-16,MintCream,52107.0
3235,Ford,Silverado,2004-03-09,Green,77821.49
3236,Nissan,F-150,2003-05-13,DarkOliveGreen,60621.41
3237,Honda,Altima,2021-08-26,SaddleBrown,25457.58
3238,Honda,Civic,2020-12-31,Blue,66753.53
3239,Mercedes-Benz,A4,2019-09-04,DarkTurquoise,64573.64
3240,Mercedes-Benz,F-150,2014-03-30,OliveDrab,77210.76
3241,Honda,Civic,2017-03-25,BlanchedAlmond,45700.51
3242,Nissan,F-150,2019-05-13,LightGoldenRodYellow,41231.25
3243,BMW,A4,1995-02-16,Tomato,34408.06
3244,Volkswagen,Altima,2022-07-22,BlanchedAlmond,46470.59
3245,Volkswagen,Civic,2015-05-17,GoldenRod,66073.45
3246,Chevrolet,Civic,2021-02-07,WhiteSmoke,16241.18
3247,Mercedes-Benz,Golf,2006-09-18,DimGray,78216.94
3248,Volkswagen,A4,2014-09-12,RoyalBlue,70471.33
3249,BMW,Altima,2023-01-29,CornflowerBlue,7866.21
3250,Mercedes-Benz,Civic,2022-06-09,DarkOliveGreen,41571.46
3251,Toyota,Model S,1999-09-07,LavenderBlush,40345.14
3252,Tesla,A4,1994-03-08,LightSeaGreen,77744.24
3253,Audi,Silverado,2020-12-18,DarkSlateBlue,40942.43
3254,Ford,3 Series,2014-05-20,BlanchedAlmond,77417.28
3255,Nissan,C-Class,2020-10-05,LawnGreen,61493.43
3256,Ford,Altima,2020-04-23,Magenta,39672.44
3257,BMW,Corolla,2008-06-14,RoyalBlue,15084.89
3258,Audi,Model S,2014-06-12,DeepSkyBlue,27535.26
3259,Nissan,Golf,2010-11-18,DarkOrange,57726.76
3260,Volkswagen,F-150,2018-06-23,GhostWhite,11485.09
3261,Ford,Golf,2020-05-19,Lavender,51434.35
3262,Audi,A4,2021-09-12,DarkGreen,21239.24
3263,Volkswagen,Silverado,1999-03-27,Silver,42397.54
3264,Honda,C-Class,2013-05-02,BlanchedAlmond,76294.09
3265,Toyota,C-Class,2020-01-20,SeaGreen,9178.44
3266,Mercedes-Benz,Civic,2001-01-13,Wheat,15163.89
3267,Toyota,C-Class,2017-03-01,AntiqueWhite,9044.22
3268,Ford,C-Class,2008-01-03,PaleGreen,8069.52
3269,BMW,C-Class,2021-10-20,DarkSalmon,31058.56
3270,Mercedes-Benz,Civic,1999-02-28,DodgerBlue,18643.3
3271,Ford,Altima,2011-05-27,DarkGray,42361.23
3272,Volkswagen,C-Class,1997-11-12,LimeGreen,67073.13
3273,Volkswagen,F-150,2020-08-28,AliceBlue,33168.32
3274,Mercedes-Benz,Silverado,2001-05-28,MediumTurquoise,78652.98
3275,Toyota,C-Class,2020-08-18,LightSteelBlue,19633.95
3276,Ford,Golf,2003-06-26,BlanchedAlmond,52110.6
3277,Toyota,C-Class,2015-01-03,DarkMagenta,64098.36
3278,Ford,C-Class,2004-12-03,BurlyWood,78410.26
3279,Mercedes-Benz,Civic,2006-11-30,LemonChiffon,63985.65
3280,Toyota,Corolla,2015-02-07,Blue,73273.55
3281,Chevrolet,Model S,2000-10-14,Gainsboro,55108.82
3282,Volkswagen,F-150,2001-01-11,DarkTurquoise,35003.58
3283,Chevrolet,C-Class,2004-08-25,MediumVioletRed,25599.15
3284,Nissan,F-150,2001-12-02,Purple,50047.58
3285,Ford,Civic,2013-06-25,BurlyWood,79245.33
3286,Ford,C-Class,2005-05-20,DarkBlue,5969.96
3287,Mercedes-Benz,Golf,2001-01-07,Aquamarine,39106.01
3288,Tesla,Civic,2006-09-25,Aqua,32965.75
3289,Volkswagen,A4,2017-10-28,Aqua,65932.3
3290,Nissan,A4,2006-01-07,Linen,41823.63
3291,Toyota,A4,2017-05-23,Green,54206.36
3292,Toyota,Model S,1995-05-21,DarkCyan,39633.81
3293,Chevrolet,F-150,1996-01-11,MistyRose,63822.16
3294,Tesla,Civic,2015-06-27,LightSteelBlue,16257.67
3295,Mercedes-Benz,Golf,2007-03-08,Green,25404.94
3296,BMW,Model S,2003-08-24,Lavender,47094.08
3297,Tesla,3 Series,2009-09-04,PaleTurquoise,60341.83
3298,Toyota,C-Class,2001-06-20,MediumSeaGreen,59390.4
3299,Toyota,Altima,2004-11-10,Coral,11184.4
3300,Tesla,Corolla,2000-07-24,Ivory,52583.8
3301,Chevrolet,Silverado,2017-04-02,LemonChiffon,59589.91
3302,Toyota,Golf,2020-01-09,Moccasin,69241.06
3303,Volkswagen,Corolla,1999-06-03,PowderBlue,31946.86
3304,Honda,Altima,1994-03-19,Black,16702.15
3305,Volkswagen,Model S,2006-04-30,MediumOrchid,59700.86
3306,Honda,Corolla,1997-07-24,DarkSlateBlue,40597.01
3307,BMW,Altima,1994-02-27,MediumSlateBlue,69925.55
3308,Nissan,Model S,2015-06-23,LightYellow,58051.09
3309,Audi,3 Series,2019-03-15,Salmon,23442.92
3310,Nissan,Civic,2005-12-14,Sienna,26201.44
3311,Ford,A4,2020-08-03,Olive,59736.2
3312,Toyota,Golf,2018-08-31,HotPink,36241.71
3313,Audi,Civic,1994-10-22,LavenderBlush,33288.52
3314,Honda,3 Series,2006-12-07,Orchid,57036.38
3315,Tesla,C-Class,2023-06-04,PaleVioletRed,50630.58
3316,Honda,Civic,2014-02-11,SpringGreen,31299.32
3317,Toyota,Civic,1996-04-19,LightGray,50594.1
3318,Ford,3 Series,2007-03-17,Indigo,18069.59
3319,BMW,C-Class,2009-05-20,BurlyWood,49843.65
3320,Volkswagen,Golf,2003-06-09,MediumAquaMarine,75311.34
3321,Volkswagen,A4,2002-08-29,LimeGreen,77107.65
3322,BMW,3 Series,2023-12-30,Cornsilk,44100.35
3323,Tesla,Corolla,2009-03-21,HotPink,36632.82
3324,Ford,Civic,2003-01-12,MintCream,38094.85
3325,Tesla,Model S,2017-02-26,DarkCyan,46401.68
3326,Mercedes-Benz,Altima,2017-10-26,MidnightBlue,51266.76
3327,Tesla,F-150,2006-11-28,LightSkyBlue,26957.48
3328,Ford,Model S,2004-01-26,Crimson,76803.73
3329,Toyota,Model S,1994-11-19,Tomato,17725.9
3330,Nissan,Civic,2013-03-24,Sienna,71565.59
3331,Audi,Silverado,2018-07-26,DarkOrange,61390.57
3332,Nissan,F-150,2002-10-01,LightGoldenRodYellow,41240.87
3333,Ford,Altima,2009-08-10,RoyalBlue,12972.0
3334,Chevrolet,Civic,2008-02-15,DarkMagenta,61895.41
3335,Tesla,Corolla,1995-08-23,GreenYellow,46208.47
3336,Honda,3 Series,1995-07-15,LimeGreen,50955.32
3337,Honda,A4,2019-05-08,OrangeRed,48681.81
3338,Mercedes-Benz,C-Class,2000-11-11,Khaki,49014.76
3339,Toyota,3 Series,2004-10-31,Crimson,63673.38
3340,Nissan,A4,2007-06-29,Gray,49513.29
3341,Volkswagen,Civic,1995-07-11,Chartreuse,63093.56
3342,Honda,Golf,1995-02-26,Moccasin,8110.0
3343,Tesla,Corolla,2015-12-02,Orchid,48357.17
3344,Honda,Silverado,2004-01-21,MediumSlateBlue,31105.08
3345,Tesla,Model S,2000-09-23,SteelBlue,21065.4
3346,Audi,Altima,1999-01-05,MediumSlateBlue,62962.36
3347,Honda,Model S,2002-01-26,Linen,29940.28
3348,Tesla,F-150,2018-04-27,Gray,24355.28
3349,Chevrolet,Model S,2008-09-11,DimGray,46516.51
3350,Nissan,Model S,2007-09-16,DarkGray,27993.97
3351,Ford,Model S,2013-02-04,CornflowerBlue,73512.22
3352,Tesla,A4,2005-10-12,SteelBlue,66811.99
3353,Honda,Golf,2011-10-25,DeepSkyBlue,42977.74
3354,Mercedes-Benz,F-150,1996-05-01,MediumAquaMarine,50326.26
3355,Honda,C-Class,2004-05-11,AntiqueWhite,40793.61
3356,Nissan,F-150,2004-12-02,MediumBlue,20355.95
3357,Chevrolet,A4,2007-08-22,LightSteelBlue,53357.92
3358,Toyota,Civic,2016-08-05,RosyBrown,42809.5
3359,Chevrolet,C-Class,1995-12-08,BlanchedAlmond,73397.95
3360,Honda,F-150,2016-09-05,Ivory,31164.14
3361,Tesla,Silverado,2009-11-02,PapayaWhip,56795.71
3362,Ford,Golf,2004-02-22,YellowGreen,36140.22
3363,Chevrolet,Civic,2020-05-20,Coral,10928.0
3364,Honda,C-Class,2021-09-17,PeachPuff,9350.97
3365,Volkswagen,Model S,2013-11-14,RosyBrown,66801.65
3366,Nissan,3 Series,1996-12-05,SandyBrown,32759.46
3367,Volkswagen,Civic,2000-05-18,MidnightBlue,31943.33
3368,Ford,Golf,2000-01-14,FloralWhite,60502.73
3369,Mercedes-Benz,A4,2008-01-24,SpringGreen,14473.48
3370,Ford,Altima,1994-01-10,LawnGreen,58625.65
3371,Nissan,Altima,1994-03-31,DeepPink,57069.34
3372,BMW,Corolla,1996-05-27,DarkSeaGreen,64622.65
3373,Toyota,C-Class,1996-07-15,PaleVioletRed,64371.05
3374,BMW,Altima,2012-11-14,SlateGray,42767.28
3375,Chevrolet,C-Class,2023-10-18,Linen,28734.21
3376,Mercedes-Benz,Corolla,2014-12-12,IndianRed,15338.88
3377,Chevrolet,Silverado,1999-02-07,MediumSpringGreen,19529.7
3378,Audi,F-150,2021-02-23,Orange,57522.03
3379,Audi,C-Class,2004-06-27,DimGray,40248.63
3380,Toyota,Model S,2012-11-08,Magenta,23515.06
3381,Honda,C-Class,2014-05-05,Violet,71469.86
3382,Mercedes-Benz,Golf,2021-04-19,SlateGray,63835.48
3383,Nissan,3 Series,1998-02-08,Fuchsia,77433.74
3384,Ford,C-Class,2013-01-30,Linen,11894.46
3385,Chevrolet,F-150,2013-01-26,SteelBlue,59772.04
3386,Chevrolet,Model S,2014-11-19,DarkGoldenRod,62802.83
3387,Chevrolet,Civic,2002-10-31,DarkOrange,7334.06
3388,Volkswagen,F-150,2019-03-13,SaddleBrown,39872.63
3389,Toyota,C-Class,2017-02-07,Aquamarine,26006.21
3390,Audi,A4,2013-03-14,DodgerBlue,33119.35
3391,Chevrolet,Golf,2002-11-10,DarkKhaki,24327.28
3392,Volkswagen,Altima,2022-07-26,Peru,49160.35
3393,Nissan,Altima,2012-12-17,DarkGoldenRod,58942.43
3394,Mercedes-Benz,F-150,2010-05-07,Violet,48614.28
3395,Honda,Golf,2022-10-09,MintCream,52677.35
3396,Honda,Altima,2007-10-23,AntiqueWhite,60703.19
3397,Toyota,F-150,1994-02-20,Coral,22547.44
3398,Chevrolet,Civic,2023-01-31,BlanchedAlmond,65262.66
3399,Mercedes-Benz,Model S,2020-09-30,MistyRose,50809.44
3400,Ford,Altima,2009-06-22,OliveDrab,27292.52
3401,Mercedes-Benz,A4,1999-04-24,MistyRose,70133.64
3402,BMW,A4,2003-07-11,PeachPuff,50924.85
3403,Toyota,C-Class,2022-04-21,BurlyWood,58154.14
3404,Mercedes-Benz,F-150,1998-12-31,PeachPuff,78220.83
3405,Toyota,Silverado,1995-01-02,Beige,47476.54
3406,Chevrolet,Civic,2005-05-16,Violet,39737.86
3407,Toyota,Corolla,1994-04-30,DimGray,8882.19
3408,Audi,Altima,1996-07-25,Beige,63712.9
3409,Chevrolet,C-Class,2012-04-04,Maroon,75783.61
3410,Audi,Model S,2014-10-18,Blue,60155.05
3411,Ford,Corolla,2023-01-27,BurlyWood,21203.11
3412,Honda,C-Class,2012-02-09,OldLace,72272.31
3413,Tesla,Silverado,2007-12-12,PaleVioletRed,56935.12
3414,Tesla,Model S,2004-04-11,BurlyWood,61044.92
3415,Tesla,Model S,2011-06-08,Chartreuse,54032.0
3416,Audi,Corolla,1998-10-29,DarkSlateGray,73383.81
3417,Toyota,Civic,2013-07-09,LemonChiffon,41618.2
3418,Mercedes-Benz,Model S,2005-08-07,DarkSeaGreen,39566.39
3419,Audi,Silverado,1995-09-22,Yellow,37097.27
3420,Chevrolet,Civic,2018-05-18,MediumVioletRed,76073.64
3421,Ford,Altima,1997-11-01,DarkGreen,17652.93
3422,Nissan,Corolla,2014-11-22,GhostWhite,51744.77
3423,Ford,Silverado,2013-02-15,Black,67688.1
3424,Ford,Golf,2014-11-19,DarkTurquoise,61590.67
3425,Nissan,C-Class,1997-08-05,CornflowerBlue,19416.07
3426,Nissan,Civic,2000-09-28,BlanchedAlmond,16145.11
3427,Audi,3 Series,2008-10-26,Orange,71200.66
3428,Tesla,Altima,2002-04-11,OrangeRed,18253.73
3429,Ford,C-Class,2002-04-30,Aquamarine,56461.92
3430,Ford,Silverado,2004-02-25,Blue,29673.81
3431,Toyota,Corolla,2007-01-23,ForestGreen,25922.58
3432,Chevrolet,Corolla,2002-02-20,BlanchedAlmond,11794.2
3433,Ford,Altima,2004-03-06,GoldenRod,54480.16
3434,Chevrolet,3 Series,1994-08-25,Tomato,21785.45
3435,Ford,Altima,2022-05-22,BlanchedAlmond,61030.6
3436,Tesla,F-150,1997-08-04,Salmon,8381.02
3437,Honda,Civic,1995-12-15,Peru,32873.93
3438,Honda,Corolla,1999-04-01,Pink,19629.56
3439,Toyota,F-150,1997-03-28,Wheat,56612.68
3440,Toyota,A4,2006-05-13,LightGray,7897.7
3441,Volkswagen,F-150,2014-06-27,Snow,65558.49
3442,BMW,Silverado,2020-11-18,Navy,16920.62
3443,BMW,Corolla,2023-09-01,LightGreen,9690.85
3444,Ford,Civic,1998-11-21,IndianRed,42721.53
3445,Chevrolet,Altima,2023-10-20,Plum,32960.99
3446,Nissan,Golf,2007-04-25,GhostWhite,41105.76
3447,Toyota,Corolla,2020-02-14,Pink,20515.49
3448,Honda,Golf,2002-02-06,Khaki,44773.96
3449,Mercedes-Benz,Corolla,2009-04-09,Teal,15020.62
3450,Mercedes-Benz,Model S,1994-09-17,Indigo,12078.46
3451,Nissan,Model S,2013-08-06,FireBrick,26319.78
3452,Chevrolet,Civic,1997-06-28,DodgerBlue,8187.17
3453,Audi,Golf,1998-02-09,Orchid,44560.08
3454,Toyota,Model S,2014-04-07,DarkViolet,77374.38
3455,Audi,Model S,2014-06-01,MediumOrchid,67433.37
